Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"tVfvHtFSYHrRaSsHdosQgnvegVjhFDcJRazR+SQ","zMkmuYaZQMTjeTYhXyT+VYGCgProYpGcLXZHEXe","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570034"
"NZrhUseRFYupTZXVBfKnQBfUSGOXufUjEFMUmTx","CaeVNgVUn/XgHvQKZPhxsWYZEnVVLFsPUQ+DesY","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570071"
"cZQPqNYxllvhzRhIUWePDQWqGojtrdVOEOOzErz","TSToTCTOpWiXLPSSvQsnaVxVHqdSqWSpWUHsfsl","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570072"
"jjXYnlofsRLi+vVOTDSuhWRXVEEqgggQTzfOJLZ","ZMYaxGvWv/QTYJyQPAmbfY+mNcMGwQWeEVCraCY","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570088"
"FxZFriVLTGQWW+cBisMpgibTYXQKLwypUbOZAzc","fGIIUqVOfbUgOXp/rKLDdpdDZYXUUVSHzopRtLQ","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570116"
"YXzdzCkBTSQxAYglWuorLmRXvWHXRY/IKSHzoaQ","RVZW+N+muDzERXtTRSZvcRHZDZkEPNRLkzXRQfc","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570161"
"ZATyMnVXaBYVBMhYokHexXVpwVDLzUeEpSuvAY/","bXObRDOiTtTmZTSEHpD+ydahuzSNHACXqVYFLtu","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570216"
"GRNJhecKnHUGzDPUUEDtjt/fkyBSXPdTjyzNoYF","DvYBIIrYPhuYKEbYWQmQALYCbQRSWWmiNWuzNh/","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570265"
"kBeeYtSJBnu/tEmCERWCVvuTxrxrlfcqmUhRInG","bnMIoveuYUTWHtLjouTMwNXTRnhFD+erUcerdqR","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570313"
"wTyHVAToBzVCpfpjVxTQOTETQDwXdICKu/wTeUP","zX/EyBWzjxWYcFxXUr/KUYZEzvZPhIRMfAqySvO","01","Turnusablesung",2025-09-01T00:00:00,"J09A1702","00000000000011570336"
