Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"HPWawWGj/yXrUwLJKNFCHbrKkRYDEtQiUUHmKIO","QxpTBGZPesbaOOmkQCnssUnFRYIQzgOmpkXnj/s","01","Turnusablesung",2025-09-08T00:00:00,"J09B1541","00000000000011615925"
"ZQQgXpsoGGYnsZrwCqseUAykysXeBSSMmWGOZnp","XCIJqXvtsbVnpSHRAVjvrPZzicIcTnXJGUvurqG","01","Turnusablesung",2025-09-08T00:00:00,"J09B1541","00000000000011615942"
"WpQEnTlHwyqYlWZXSJpgfIJGFhMqVYNd+JTRJgP","eJZIzQgPKunZIYX+VebRBGnQvMbAvoWQMa/fyGI","01","Turnusablesung",2025-09-08T00:00:00,"J09B1541","00000000000011615992"
"RTmRIGWFhiKeQcJXWtvZHVbdJTHzXcWKhK+UdOR","cerYR+qFWzuQLQFQTovKQbCQEgcBvvOoNfoYMBy","01","Turnusablesung",2025-09-08T00:00:00,"J09B1541","00000000000011616026"
"dn+qAMWCIHsXZtCYkGUUQeoMiPTTdOczLKFqQqB","DusGRZiHMdKPlvFEppsBAEyyXTZZFzIxNCeDkTE","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616403"
"CSWsgCrTlWKZgSeSOboesxAtVSkTLoafVSRpGhZ","xFVKcRZIUj/QFxVwkUiZTnlXaifKg/CcHGCqscW","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616524"
"ZTSsedevqJnRSS/QQRJWYJEMSE/zJNnSFEHZCfR","nJlYRpdWeCFQVSoRQaVwrbidlXt+bNznEWHYrmt","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616544"
"FFQPFPLOBroUqpvHQ/IgnQViqSMeruUXERJQZnw","FAkOdixFfRktRpSddVWmJGfEUbRSzZakNUkEsAF","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616566"
"PAaWjMQYLJSt+uFTDTVYYAHSkZjeTrzCYCVBWBo","QySyOEhNVUhudLnJeWdmICELBdxkQWeLxQCaZkv","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616599"
"qCEZWkxAJirdzpHuQgpeQRQEWJoXWWMGaNZUFSR","GZYPWD+lEjkKjetX+TZmbdMUvDQeYTVMRkfMeYq","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616613"
"XtYHxOEsWHOPRs/AuQhAcWnzSxjZVaGMtyYsUYC","/uMqDkwWOfGXnbOWkORoYqmdLzGmaHQpIYZTgaT","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616675"
"B+MLAtYbBo+HXCvSWSgYsZPLZMwICiIBJREKDvf","YuNWBXYBZZ+ZDTOKUQnbR/IBOQeTUSPbZPLFggM","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616828"
"ICxVEXUailKVZSdAUSfXdocqMTrla+XiQMvImiN","AtYvFDuTvmHoeUhUVrjgTUVBUixTDHMASQSxFjJ","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616850"
"fdWVLQVflbdtoibWSVhtFX/kwCsVDlzsCoTZMgi","WdXjNUzTVofWQfZlKvRfYmYznZTEmSXXWsqXzZZ","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616890"
"UvTVU+WfckXmXboXBAZU+VcTwlAQCZXJQvOWGpX","xnlnscSlrpQkmSz+KDoxSQrVXxgOrkqYQXQnAwC","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616918"
"fDIhTx/gzsVZWXPKOrEWUWjVqLDJcCVqzZYSEXo","la/OxOeUTYMDWtcAQVvaFJPNWSzbrl+nBQfbYD/","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011616938"
"ADSOIqNwjxvrUdIxWlYznGZUXDEniOBIZZPDAsQ","RsDGvmnAvVVElKgVGEWPWkaF/trudwUYuWTnWLX","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011617001"
"nRFvURAXlXTCLLpTJuBOSwKgYoR+kbLV+RUWSQW","rNKeUcHRnV/aiDLZSOjYnIi+nZsDzRfIxZOKTZw","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011617165"
"uqiGPcXQEXFyVxJVVtHVLNoewFWjaRuDsaRrcYY","CqZhUgUACNPSBTzYYspNNyRqgZmzGbGzbmBlGNn","01","Turnusablesung",2025-09-08T00:00:00,"J09B1611","00000000000011617318"
"jpSqwmYiWfTyjGVAZqTIicQbKdYRKnJfXSjOQgY","OXjyeeZZYCpJNVpyUbKSTLeiTMcOEScI+XCbcUf","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618452"
"nCTIkUXQDhknZTUzzVASXYYQQO/XIYzVfxQBarh","oQaLuXcpzhMPUXITxcHkOLLPXDTjbSYmaVuKt/H","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618486"
"'+ZyYBAkrKUbZwjQWaXfz+mOvdZimQyQZEhhcWAl","ToLakWNSVWXSZUvGMmUHaFUMTgGVPaQ/nIPGcgR","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618497"
"QLQvzfWKwgzTtrSlwmkgbAUYlROWFTnqdnFyyOM","FFoaBtj+UlmdkXVsdlhBeSSxV+blvMnA+gVhVlR","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618501"
"QFBBrmdXVPZGluPNQGDIVblYHUZUCDoOTVTo+YM","YDfaHiYgUTpOnQqZMnEDlUDAxGuiQSuZvmtvhUe","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618546"
"WUWTYyfPRWXUUmWhZlk+oQIXlUMDrRmOoiRgqUc","KUzBoiEqWzNByQvwG/JTVWdZfStknySSVWOGvOY","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618590"
"UUAWpIyTqozXBRSG/+fIgSzGjBCNWDEPNtSYizU","QzwXkVBIZoLUtMJWlGibLSeXJCUuqtzgZWmDqEF","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618595"
"FNSUSjkWYrvVBWmQnVX/mhwEITQZbYUbKlVUq+g","uWBjlHdTwioWVWZYYOQZwyImdQJrmXx+MUHUQnm","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618660"
"K/ItYToSRT+XeWqWMTiOziLyWwsTvMZqKqS+Rze","gSXkVlzTtYAxA/EZFUamVYknYUobXYf+IgwocXo","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618674"
"OUr+tdvdpRvQOWQSSoQORvHHFqRnWyEIXRTcLPW","KRUWKOnQtsDUUaTtkE/fRTeNhvpUklRcybpRbAH","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618685"
"XgiwJfXjRVkOpnSQy/sSWPbquVnRCZDTAKTUscW","uZRVWFKZMWs/GZrpuitEreRJPRSZdsEGNlRmR/u","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618717"
"cTsQZRAKNvYWWRgAFcjdvxBLWOEyTfAVZnziaRe","lnXEposlWrYnjRborYGYrSQTV/vJUUppjfXZUSb","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618719"
"xSsRp+KygUPNSyHT+G+yYEhXzGlYWdCAwVxGZXV","BdccxYBqWakTmCRN/ebisrGQYKQdwWetoWBBtUh","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618739"
"GLYFqbfShCQTDucXXCdVAURpSpwFjfzPHzGaAjS","WcTGpWpnmgQH+lWhRFWQaQQQDiSEdGXRHVAnQAw","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618750"
"OLVHhSZTxzRsTlgpIrBsv/UKHwKUPB+SuhSTcUt","ITI/+nTIhNcVXXEOUTbsnbrKOVXMpiZSXMAHfTV","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618767"
"yupFYWLQJDOTVkVCTORRNewjASUVZRNafkZ/DeQ","TXZbWUCMrIWFWUEaRokOxkRVNHZKtUCQTcWCBDv","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618859"
"TQvD/DYXWVYHmlShxJuCbamW+uLBYMyNtmVxOnt","LDZY+JCsNaTSRELqeYuTdeSaAltyHdffXWvQYEp","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011618990"
"jReSWW/mncBrTTDzB+wDvyytfqgTyfSNvXo+TWG","ArrmnuzfxSEmwaXQTKdNZcrJDmbTqGWTbSiSWwV","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619005"
"yMwVeUGXFT+NuSLaVauLsiUTcIeaFjYIJVtffIj","QIEKFTaKXzSmEtSQblMPsBpUUvWnICNiGfWckpK","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619027"
"PdfXfngsmZQ+wpCq+wcTmpoIqqOnLJEzeRAKGQd","foxQmVuzXeJikUzVXfQVGeTlcQNVTCkUUMaTXGX","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619069"
"ZMJEEQCSwAaYSdi/fvDOgunoVpQbzzevWQKQoZQ","gbZzFGEgQKjFnXiCi/TvVxeTujYS+uOtWXTWRjb","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619074"
"GVGlSvDeM+VXSGEZ/sVFOA+YRweVZkmtdABOGOf","SYOQhghpmhKDnWDDXVeJmTwnZOgIbkrVHxkYNUW","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619111"
"EVMLVCQTkqNqaYFVnptiYviFlhrlUtcVqVCXbEZ","NvWQjmiSMERepjYkLzrZHHXeWxRBVvxOZbHQCat","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619131"
"ESSopGeNwyPAnENwjSXEMaUPWmpUcSxPggoqBl+","JLmmGOaUI/TKiUHYTPVOPJWGdYwWmlFLVZVpooT","01","Turnusablesung",2025-09-08T00:00:00,"J09B1612","00000000000011619139"
