Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"WVQWVUgXYSySwrlrUuRZl+FXbSFWlnduJLyVQWX","fJmdcXFDzgEnZypLUjCBeThkcZyAYzZIWGUPYiw","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683452"
"wFfcHEKUEXhHRmONgzxUTqMJhSZ+z+kCNajyQmq","MGSKULwDRtcRQAExWdezaEQ+gZHdWVKQjQtlFXY","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683469"
"MZZYqbHBqZMUH/VAdlJghYNtpfRKQMYvPUs+QTI","kJiHhvAkhQdMjWUgAypDMlTisRZzAxYBsSTAvfe","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683470"
"CSxBimtaeJZxcTUvHSICIZsuuYcmIxKyHYxMRKb","CpwlXBVYpJaopLSWtpCeTvRW+TjpyDIPSVdb+nk","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683493"
"QYnpcwWTpqmRXvCZYRLlZnilMApMyY+vLwvbriv","VMBZIhoyGVzSEQdWVXHtXeOnwFfhPhgYVWSSrHj","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683505"
"dGivT+oxYUHUoyXZTZXYXYsGzFLmUNYSXUTyGWA","VMBZIhoyGVzSEQdWVXHtXeOnwFfhPhgYVWSSrHj","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683506"
"fXBEhseKOYBTYyVHBFXhLsVFjrmRaWUffBkYxMG","HulPmDUzjNGNSikNDSmWxWWkSYXlEyDumPVHZUY","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683539"
"eKXWRG/EdvuHbYXnZUYYgWuwCfCJqTXIADqwj/T","YxccjgvMjPZVPkwPCwrXTRGwYplnLUXStnXOkpX","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683542"
"RPTJnZLcmYXWcbdXyQUKcnWVSQgEWSpLNygqmNw","KHeduHrsF/algFQsQalgEKwrSkhXOXlqbNSAbWp","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683558"
"nyfjCTRXQ+VvlfYuSyhGGrQwTAUFUoDSotOufkB","NTqFsJWFCGhTyVtXbtgCUKQ+tHLGgQsoJq/MBhK","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683588"
"SsWqiBSXuX/fiwsoCDYRSAtHWYgxxBVzmZQjrHf","qSXWHGWyXXHkItvYmJXYWfhIXIfqmwNBYYuChwg","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683592"
"DQI/pecSUgRAJswhTUujTOVoUaUXGuuWWyeM//Q","'+YWHYBmgCGrIwSBXVzUGdTEGTZBSQzYxwF/s/UM","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683604"
"MpWMPv+xSvoKyUYke+su+nYXwfIkANAAPagFwGK","IpOaUDBjUjQBiUNwsXPHUGTPTOQeXVJc+UjSECn","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683625"
"ThYnumTqoiFHYYuQhnBh/lWjpChQTdTZJGFwfHc","W/CMQjQZlucvaIGjuQABOpJYTUmqYJeVGrUlSZs","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683628"
"oadJIFXQsXXfYiayLHFgXvkWafPviTqgjPqBppT","jvNtMVdESQwfwqT+hFZmHbHrbtRLuMjqYzWdYXY","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683653"
"nSXXsJVUWFTkXAYTdjWuGEPYTUTgvwVwFMNyVZU","Pjf/fziTRvIEKKCUxquPM+XWVWRXpODhqfNTNI+","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683684"
"'+iIRyxjEEVTrRBjouVQoRtlSWXrUXirZHZCsVJV","wUalUatkpVRxKYX/tNoKcWUtfWxWJLtPYSkeMAF","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683714"
"OQjeUYECySEVIUzkUFUzobGREXUsXT+zTUGrVzs","RqwprqRkXsUkwgXNYSTRVjsGTXQKtcUPQBBMIuQ","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683725"
"CA/OqpuoRSYmatjomkWJUpJsfnkPSOQsyATSdWW","qFYudhiFKQPMBpFszVCFczHVyfBNUTUnMuwiWRu","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683735"
"bryLcGnwwyYCsQNAdIebBscKqcRBJtvlZzoERCg","rblkYZJOMgT/jYbQQJQfBlOWRgubDJIoQuXiuSJ","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683765"
"HosRItTjaWgOJRDOswMgZvnYh/Tf+MmISFkGVYa","wmommnbXu/DRAfCWrYdFydbXUgATbKUtKRrXRRU","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683767"
"ipDLWwXqmmvKVTzVSiWsIcRUeEuxomEycROMXVa","v/UuUd/AzICQxWNYRflVDUM/hGWYBQDkrPTRbTC","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683773"
"UpPP/mQsAfWmzkThAJLmNbrkCaVXBrUvsGotIfm","vQ/vfYWoftRphkZh+vhnpsRisZOCAYMwqogtMX/","01","Turnusablesung",2025-09-16T00:00:00,"J09C4011","00000000000011683781"
"VbcsFcpU+AbSkCwTfRRAWuWsUNOFNFOWSn+QjEs","lWatsCutoOKqwxQJNnXtigDxdTSodYfmt/YlszZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685806"
"QSlvUOETnRDURNXjBBEfTPNQEvbs/YgS/YkFDBe","NwNFOQZKYcoDTRWgSACdzaXavSRXJBRvWbqAuMw","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685808"
"rScVMtRQveYIvBkPZYTnoxdVhl+ltarHVdVBJzz","ZphpWTmkZSfUHUGkVn/iIUYuCBFX+/WVEhtKMQZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685847"
"WyVyeTGxtSTchLCHLTEPkhVSDCiAhLCLkRvo/Rr","tHR+puGySCVSjzqSMQGgQUAZCQRDLVGUWhXSeG/","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685872"
"gDuzFqjReUlsXZiTQJWquGgT+huZmnobkurGAYy","/ZDTuhjzj+v/xnJryXIbJR+BrsYAABfMyqMWChZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685874"
"VITscbbvXPjJsLWdZqySNDGqUXMgYKNQgufZSl+","ctmlyZS+yRfinRaxUyJsfSx//UlXQgTqFOi+Faq","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685880"
"WEsRZYQuaNOjUVRDXOTaOerouEtFpivzwrO+GZe","wTMQXYbSTXTdxBTUgQDXSvnrczfkHB+UqbL+ODZ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685902"
"LRgTQLBuJAccwcXXxevXHkQwAyDmfTY+PXTbRRU","XUYoaa+aSKZzmGQKVUvPQunVbRtsTNuTpicxaRw","01","Turnusablesung",2025-09-16T00:00:00,"J09C5081","00000000000011685942"
"CoKGtvXRTCZyaaWJlpqXRdkUSiJqDHXbIvGynyQ","ZXnYWCjUQTZUEFIDkZYKb+eZFQTXlqZUofJkxUD","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686174"
"X/BHnHmqcTWlzmVDWDhOUjRwYehriamgPHPZEqN","TwuQSdpVNXHuXY/BYtZdFoVaVMOFZXH/LRrBCRR","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686204"
"pNPsRfozgDswCjQouSHVRgwKkQOMGyyaRYEYZVR","lZQiyFESpST/XMcwuLDewDpTBBXEhKQPUmaxRts","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686209"
"UontjBBXUODxwAMWyZBaUSWGRcomZXaxVUVFLXX","DOkqcsofYTocPJzVRjTrlUzrQxSuWURVRZ+RwVQ","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686264"
"BszwcEfT+xmQGUOuhWTfXGFRmWhuZzDdYCkSWvb","foVjr+E/KUXJncOCABHnANXTaTjIRgBYkTtUJGy","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686321"
"rXKCMZdNfqKqfTGYlVrd+WKnTxxrKevDzUxTmwO","fireL/ES/jHUuXWyXLfLNqLoDIeBJmOcXDkZBTG","01","Turnusablesung",2025-09-16T00:00:00,"J09C5082","00000000000011686336"
