Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"QdXGdFEZmaROqjRDSdfYIhtVKBiiIDxKirnFQkc","WAEP",2020-01-24T00:00:00,2022-06-02T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6206","bIpGbdZxHaXKoTmvoXQQhUPGuzpQXIWEjrOi+Yg","WjUCBkuRKHZhTbewwWQ+ZWvcdQvUrzYWImbrnFS"
"xdwTNljx+o/FFWtZOFqQtEVjXpaR+WrdTWYFttW","WAEP",2022-01-04T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","IBASAYMdqlSTNeXXidpXrKwZZsZYMcWUszUYpwu","vhblGvpXvInSXvPub/QJYxDQRpMWWOlACCJXJTT"
"/+CyXUtQVYVkRxFGaunBgTnedfUUJmqVXsoaaUf","WAEP",2020-01-24T00:00:00,2023-08-24T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B1612","ZxJbuTcyYXBXVPyq/VJEbgVjSoReaWAQVSTQOrS","xBwXXTw+DgmfOVndUAWwNN/gzrEkJJiXtCPkjYi"
"qFKyVpkIFrGDQcxYKmzcJGUTBfRcWBu/sZEMAAE","HAUS",2024-01-18T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09B1612","WyGE/KVZiVOaYVcuoZrDXpIYVolUBrQTWDiuURs","SmdmAUSpyOxVnDvXUqOWhx/nNFXhfsPvsJepgWl"
"hKgnQmEXJPLoBXejwSYWSefSbYzkSafxKoTtyFW","HAUS",2020-01-24T00:00:00,2025-06-24T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6502","mE+LhSjllqZWNDYbmUDyzQZynZEetWgnQalOIKQ","ErpQ+sXLkRGl+qiTIrtDcHifasWsIiJyRnCZMLh"
"HNVMT/RSUiPAStVBwSZRUrBhgFKSrZOMLNoSXXE","GEWE",2020-01-24T00:00:00,2022-05-05T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","JJA 680","Kredit- und Versicherungsgewerbe","J09B4011","UbZspgydZjQIYCWa+jEDsegveekvWrFIPTWiQAW","hYq+oBWyQfCXipZfvCivmOjeZSfGddSbYzvVDZq"
"ZuaTQjQlSVeFuvIqrlSbnhxyPUICmPnVUWyQews",,2020-01-24T00:00:00,2021-12-12T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09B4011","x/Eetr+YFJsfSHJzsWUgYCtSeHSdYbTaMQYcUPV","ZqAouyohXnKXXlZAzpYJerUaTlbVfAnxlrVqYEs"
"UmkjmcORkOTiFaAWvzHweqIVPiQxrQRMnFavXBZ","HAUS",2020-01-24T00:00:00,2024-01-31T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6502","JDLKhVDyaHMi/XGMraqfTajyyWELTBCuXQVSzWZ","xDfYRFKYzMcNOGt/ZVG/PACwVeXoykae/TvYIIJ"
"/ewmZQJSZzZQQWuBoPyQDVBwf+InFU/vQqdFRDw","GEWE",2020-05-28T00:00:00,2020-10-22T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09B6252","TDiMbCGGPWOVpmmJUUR+NTEkUKEyqiPucyTDBLq","qBCOfBRTFDGJuqUClFVhXzdLmHRum/uXxeDVtYj"
"TcWdhlWMFYQDTSVCZSTdlGJqxvjmVezfyIKjGTx","HAUS",2020-06-18T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09B6201","fsYwXkwyWRkbjXpdvsoQXfCcThVgyChZWaTpnHw","iGOeEHVrLwWRpCCpCrrifVCiIUuCFWUhTjjYgRG"
