Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"MWAvyFQaWZPnJmfNXWTqWWuKWktUYMXUJZTXZUf","WAEP",2020-01-24T00:00:00,2025-09-09T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","fSWtXStWkQMqlBY+tJsbkDzaSZQzsYaKWUpwIJi","fSUjWWcHhsCdwkfBTobudQTLzcaxRVxX/gxxgLv"
"UsRQLsXLJUYLTZqjgDBShEwJHEXasTurWKRLeOT","HAUS",2020-01-24T00:00:00,2024-12-12T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09C3401","fFQQbgTlXyuBSsNiTRdIVQGRqGjaPmqNeWQkVxc","QKbpkQOLqUCJsCQTCU+wYyfM+/dHRRV+JQmUsqB"
"yZkYGxVWQ+VhvZSZTJWTIzgbGSYkAmqcmZKFGGO","HAUS",2020-01-24T00:00:00,2020-10-09T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","neZahYttQSWMESRMxaHVTvVmitp+IZHLdNrJZuy","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"UXq+ZYPZFfBSUbRCZPUvWEQVNQmp+HL/UuAOLfc","HAUS",2022-01-26T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5482","MxRDOQXQU+dcmmxoJsWRun/TLUbFXSaPXPcqmyc","Vca/YmeUZWIzAictik+XNlAWZMquoeHDXfWLcON"
"TQbwSFlZYHFADhMUzghAWqdWQwYSjVSZKBXtGAm","HAUS",2022-01-26T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","QUqT/gJGeXGVgZnUjRapUQoxWw/egP/RcLRmStN","wVIoLfcFmVQQUZBaWWSPDOgVeyJJochwS/vBwSD"
"YvWZYcwQDDtWsWRYlZmlWYtSNfeUmUeucRJWqTg","HAUS",2020-01-24T00:00:00,2024-04-10T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6504","GcSWDeYTyRqJpNTOanEGJ+dfXvH/Fq/+KCVliWO","wyVkxtTYKHnmTrXmnZzQdeBdUpEUfXWuheBaCdq"
"EXIIpmG/WWviWUEDGKyXaKzUnJOgsKoSHhDILkP","HAUS",2020-01-24T00:00:00,2020-03-18T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","KKA 700","Grundstücks- und Wohnungswesen","J09C1622","moudOLlNSjWQBJOr/pDnnBKaSFYZvFQcrjciT/g","IMWhVnYQUV+iYKbRCwxuojMUAfTuXhhqhMgcZpj"
"GNEYvTr+eVjmZZBNtUvOUbWnSUAfkIISOXTUfLr","WAEP",2020-01-24T00:00:00,2022-06-21T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5485","FyGUNpsVQBEtegdZdVpRvWr+WSDJnOzlcLJRFhg","RAcWJkTxgPFzyoiSKLXmTUXEsMGfZoUYFkPofuC"
"kRWZOlqJhxfCSvYIOnqHmorlTtXHVADdsGijSHD","HAUS",2020-01-24T00:00:00,2025-02-05T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","gefdSDpZvjwFQIqWKuDmRWRlnFMHnYaFHFcNAoB","yVmzZjlYykSZepA+vTQxNQkTmwzXONgOQQpZtLA"
"qCkgmgMNTJiTEUrz+ybJlXRVWgtuDsNICj/UJVR","WAEP",2020-01-24T00:00:00,2024-08-28T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","fUFWdQZKWsfbBQbyYjghPhaHtfCKmBGfwMKnUGc","xmTFseeruioVsnwiieFIWlhvNZoNaBTqvjTFIZW"
"gVOcQaUSvfEIkUSKyBUTpSNLSCTuYWedxXStdE/","HAUS",2020-01-24T00:00:00,2020-04-27T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","JAIxeNXMTYUgXVxqWuiTZbXJvwqnDgrWdcCXEiT","avTSEiYWWqrPOjTalcvVGMjJpHXgtrtLUSbBWpX"
"/CjZXcyvFrFYXgPnIOvVJecSUu+fDnlkXNhxeXc","HAUS",2020-01-24T00:00:00,2020-07-20T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","qbnUkfHXbqCpYyguewnSXcKULgTe+JhuIzemSmV","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"nAZbeHRyzp/EbZaQWAjSUqYHQoEYUGuSfjMZnBh","HEIZ",2020-01-24T00:00:00,2023-12-11T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1622","KrniYKcxDvYsVSicByXUSiKZYJf+cfusOlRZ/SW","UeRgBvZSXRNzYSS/bVQR/vTfVmaZOxgT+yHs/V/"
"jZFhAkrqoWwCKkyPU/nbXaSCZZdhNfUsXRWyjkZ","GEWE",2020-02-10T00:00:00,2021-01-26T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","NVYgEVfxXpxDBUmXaJRTysMnrIHkvAbuZQVS+TS","TUnFDUK/YzS+Wfzz/OID/GBfJQDoRTfmq/SmzUQ"
