Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"gLROcQppviuQzohAdOSTWZZALijFAKKxNDtYsTo","HAUS",2020-01-24T00:00:00,2025-11-19T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09D3301","AnnOizSc+tNnKPSeWnsRucRjTCMPAlwug+VvuSv","qQEETYvsmuPZDigoNdbbWUVVYPPBDixaM+JFvNT"
"QHdcWxWKysFRbPgHhMxRrneJhSVHToUVBrsdgJk","HAUS",2021-07-16T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09D3301","IYWtwy+rkaiTiyHGBJDQHrCumQmASrvTopcHAXW","/v/DJyXBLqEcjdZWzqWNcpazfYviOolPLeWxIVF"
"P/GwZ/rcMsMYSMKBQHuwVCrknAiQObTqyMOkXAI","HAUS",2021-07-29T00:00:00,2021-07-29T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09D4011","bwGVYfevNXexVgbarxWDuRLhVpXFrn/fhzuQXZy","bYwKJUWuwCBkTvZTvnUzVHmJbMxGWwESAHPuqNQ"
"xceuQTW+lErYufGYLwIyPMrCGNTCRoQVFWGkqRx","HAUS",2021-07-29T00:00:00,2021-07-29T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09D4011","CWQfEurXsxfnlI/ZoVPUPBULlRUcPQWpF/aPdAe","bYwKJUWuwCBkTvZTvnUzVHmJbMxGWwESAHPuqNQ"
"KSWTDDYABOTZZREX+cKCfbcYwAeVxsfnoeZQJeX","HAUS",2021-07-29T00:00:00,2021-07-29T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09D4011","UWoRHkivnvyQWPcvVfzEWTZrAs+TrSUGb+Ea/mq","bYwKJUWuwCBkTvZTvnUzVHmJbMxGWwESAHPuqNQ"
"aWPKKIVoKDIvvLCXTgtMX/WoYPUyWCpfsBRMOZQ","HAUS",2022-02-04T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09D4011","CkJgsYPXiWYIZZcDvqY/XTEccSARkfmtaTQo+Nn","YbiG+WclXvQEnYRSWkXSgzjeX+EaDNcLqZBBSxN"
"VeRkevfDcPGyZLmKTUsUoSbuyGtYSTPMW+RDjTr","HAUS",2022-02-04T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09D4011","vfnuPEphvSUoSQUwzZWXEWkNZEsoHMZSVnizEeA","YbiG+WclXvQEnYRSWkXSgzjeX+EaDNcLqZBBSxN"
"DFKZNXddUakXjRiVZhVRZOSk+RHSDLSuoUnYtna","HAUS",2020-01-24T00:00:00,2024-02-06T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09D7023","WhtZCSbEkTNNS+oFvQATHVdgqQSdaLBcYnRdqxu","CXzPwQGolpCkYmbDcpqjTYOgjfrulZoPALXYOuB"
"lKozfrQzMJxSbSmmAYKZYlphAiQTpdksGoftfpx",,2020-01-24T00:00:00,2025-11-13T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09D4011","rSXaQOwRboSaffThPBdFUAlPeQINkHSgmCGoZqQ","MWEV+YatTGuLPWXRJIRUTTXucWAAadcvPvfobKE"
"qCyw+RmyNYwAVOhoboRHfiHQeDEjdTTwmOaytUv",,2020-01-24T00:00:00,2023-02-15T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09D4011","U+ILhXnIohDWQkPcdXHJuEYCsIZ+CSVFMyXGZQw","VcIDoEIBuQMQgFLHdUORdPuRLUMYYMOCDXZZRYW"
"TShAXKQSYar+EeyVIvthobUXkBuyA+MjFToG/iq",,2020-01-24T00:00:00,2023-02-15T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09D4011","ZGXVLHEDfjmSJyZvhWItCWVvaPJWJBSrNMXs+ZS","mTSSRe+EJRIEOUcBKkbZXvJbTVpXTRmqmIQAqtC"
"oxmRViIAMR+IgTHUKXUgMZUOCYXsamECwraUkjv",,2020-01-24T00:00:00,2021-05-17T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09D4011","TITQwMOpGMn/+eQsZ+ShSwiVMCekJRpuvabrGLx","kcUmFLvHmVUMBRGTmZUYXTWvkhdJJqqxAGvpWzt"
"dxyi+ZhRFgXnRiXWzYKJaoAwVURXGEZQNIqGauX","HAUS",2020-01-24T00:00:00,2025-02-05T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09D6246","LLUguZaJyzVYUBMQSdTJMZqXNpCefRYHCFjhzyP","AToQXNLlC+njEvUBUUaQooWFVXdulTR/+x/PfFz"
"hhMjQIfZzjnKoJCYJ+SbPSCRKTeJJsIXWlTvNMY",,2020-01-24T00:00:00,2020-04-06T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09D4011","weSVVLzbYqsQeVkzfgYlBiOSTzKAcaELEMQVmXW","mn/QgobkeGZngAQumWtzFFVTrvnbWfrdNsfkCWL"
"KQVlrIzArgDOvTPQOfZgd+f/ws/XwUOYRYWRHQv","WAEP",2020-01-24T00:00:00,2023-03-16T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA","Private Haushalte","J09D4011","SmOyRlCxXWYYXUjYyX+rgegNHgrkQQXFWYqYy/t","SmeMUBoiRHiwsSiQCwsicWNXRusTEDiLNYQYqZY"
"NZYcLZhW+RHURFXTUs+UtFSt/qgGEssEcCTwBKU","HAUS",2020-01-24T00:00:00,2022-04-11T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09D3301","mvAbtkjczwiCDFWZlWprXSPjzTIiEWRBTXeLpdd","TdRxAtnIYKLZRz/MYIIVorMG+vsIPSVzmzuyngY"
"wVNchRdGWiyQgubVvoNw+hghUrWkRcqtnPedPoq","WAEP",2020-01-24T00:00:00,2024-09-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09D3301","pUEeKTnexWDgx+KTXyotIV/BfXZjrcXSktPrMcx","dsWcVOGIUmJzZ+UiltDKWWQIdxFRFPgHJvBZgZm"
"SXUDPUNTVF+hYGGdcYejQQxon+wOTQUUOSYgcYo","HAUS",2020-01-24T00:00:00,2021-09-16T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09D5475","tXiLeAxKZfvvgJyXYEhAiyMKRqNlIBcTBXZubqs","PRawPQqRJjhatEGyTvPb/LdcftqNrpfiUbfTZWp"
