HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"PdIWDPZDR/+CZZUHVZZlGSUWhuUeoQK/UmlAYa/","tUiBC+WnAIVbTaQlpDWUVnkmWWcLmaSHgbpoopI","J09A1703","J09A_J","tBoeyfmAgMWVccCVHGWUiNxU+fGDraLxRZZIXA+","Hagen","Vorhalle","9","58089","rtQQdmISlDOVIYpzTqgWHndp+rtkps/EusbLNyC","EVU","Standard nach Anzahl Stromzähler"
"pawsnYUokcdYVcwHaa/kNec/qSYDjealTnuXTWY","BIHTeLVxEoJtWsSVewfXNvgSzWYozptkYRLCZoX","J09A1703","J09A_J","p+BVVWJnDpyKRAXVtsERLYWMOIpnaXahNXBXKCS","Hagen","Vorhalle","22","58089","kVMRnEMf/hftUHfU/SmNRvPPFBZRSJMWCwXWOEo","EVU","Standard nach Anzahl Stromzähler"
"xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj","PjUUpVGUVYVkAbRf+NWZSgGFBdRfVzWYUTUFbdU","J09A6103","J09A","lWjZGtWSyliAszzUoNRltwWWQMQyubKZYzoQLYA","Neuenrade","Neuenrade","14","58809","OOHZS+ZGBNkXFsmExdQhvmNhNLssVBHHRcutjor","EVU","Standard nach Anzahl Stromzähler"
"vZQYyWyeZhmoqUTkljGW/JsZYgzHgAmaaixKcPW","bXjvVBbVFlPZaNOmhwZKWAgUIWNDDkgmCiclqBx","J09A5015","J09A","ruEB+BZgKwDVKlqMJ/QHtqeQVInSwBOkwlpacWp","Altena","Altena","14","58762","AQy+FLQwKHvifvRawNU/lTUAEYtcvVZVsFkOZb/","KSA","Standard nach Anzahl Stromzähler"
"KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX","RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU","J09A5014","J09A","qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+","Altena","Altena","33","58762","mDtYGgGXSx/VEfzWSDWXOfZidgVzuJrh/NuwhsS","KSA","Standard nach Anzahl Stromzähler"
"X/MSvNIQdfnSxO+nQKZQpOUObqIKT+xYKVUtCcR","jkLrTUzAnwmVRSUkYaS+RQYzlVcgrdsWhZooYmf","J09A1704","J09A_J","MYpqXJWYdTcZAYXXj+SwvN+GsdsKgLlzIEgIVRm","Hagen","Vorhalle","19","58089","RBZJFIUgLFyViUrhoN+BXZUXSZzoxvyNTASIUqE","EVU","Standard nach Anzahl Stromzähler"
"ZeYugX/GRwQnxOSKs+uNaEVQxPvkXnSjAxgikkS","mYHWPWsRRP/XYsMUlBJoPXiIfqMlctYZIZMjvGH","J09A4011","J09A_L","GiYjQUQZnSJS+GWdFZuAXpTVzGqe/bXKtiYKJnj","Lüdenscheid",,"4","58513","FHWCbk+KZErIzVfNYbNFl+vDXVrRrXOrRfaYBsV","KSA","Standard nach Anzahl Stromzähler"
"ThWKRHLOfVVHzVghbVTpRQWETsoLwnpUtAsuSbG","ShzuLXCHKzxPWv+TQCAogmTlgvpXoXgrMUdVpup","J09A1703","J09A_J","dR/XnPLSQeVIlttJaDaSpYVFzLtBapMTKNLFMdf","Hagen","Vorhalle","22","58089","DSQHvgIUhmZnQMS+VVp/IQgXRlvMWOBStPphzhL","EVU","Standard nach Anzahl Stromzähler"
"WBatRVEECsWmUeoqHfgzvRyKs/VTlWTkURZSVUZ","fZPXXfDYN/PodEIUqPhtQyrfhzhhyRZM+dNOTTP","J09A5402","J09A","kRUzyYtoXKxWozRCnEtRtVBxRyRUBbrbTADWsdT","Halver","Halver","79","58553","peqXlZUXvfsUJNETEKEvFcRyRIePkSPkLsKqhYH","KSA","Standard nach Anzahl Stromzähler"
"wnwgQDKRVTwuZHREvTzWsQhZQdZIIRbQolkCpHY","ugUQZXyniURqlDMDqFLbiEtHiV/OQoYzxuYTeEA","J09A1702","J09A_J","YjtdVpdGc/WOZTYVtVnmWQRdAfVdXrXLJZTQLhQ","Hagen","Vorhalle","50","58089","KjKTVWcwfZqpfVMTYqSTdvZbVmYCicRTFuzCNPW","KSA","Standard nach Anzahl Stromzähler"
"oDViaOfrarAe/UIvbrVjUGRavfAYPupNCvFpYUK","WpQPioQsmSGhhs/TVagY/RXGgTBaZHJlQHICSmT","J09A1703","J09A_J","eW+WtXT/taUzkqasUenZKBYliZlKSPVISwBRXeB","Hagen","Vorhalle","24","58089","q/kjEwCiMDYprEXLkpVmdReEoRYsjjRlhaafPhp","EVU","Standard nach Anzahl Stromzähler"
