HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"fZEzlapYGdRzAstmboOjUQ+aXVESyiwdpLyGQHd","lSPeVmXihHZj/XGlfSYvmKRAmsVeVmCqYhjJ+Vh","J09B6501","J09B","YIYSWXReUHUNYRQSnJMskWYXXcnsNVgqIBtZKOX","Meinerzhagen","Meinerzhagen","33","58540","oCQIWAbRnvRAvspTUZS/kRJJouwHnVZOMZCqFde","KSA","Standard nach Anzahl Stromzähler"
"dWObsQTnxIQEoeDVpYSargXKqJwWGyGYxQLfQVz","sbWTUSfWcjMI/d+BXcRTOTfmjWUxShXMduSUyup","J09B1612","J09B_J","kuUdnicQymTUaCDzZjpVTFaYRhyNChkdwApyspp","Hagen","Fley","8","58093","YDNiYYYv/fqbaZE/RpTEKkLUQRHVMQGEs+qqxfv","KSA","Standard nach Anzahl Stromzähler"
"ZRhgRtDmQUvWVGBMpYTxNGIRvCZuAOmLPYZKFoS","ATZeVdKImYPU/UeSRqAyRDzMYOq/dRkMiABtXsC","J09B6503","J09B","cHcDWQYTSftEnebJobmgjZoVJYQFMgoqSTEJueY","Meinerzhagen","Meinerzhagen","4","58540","vTYVgXBLARYfOkaAsWEjDMVrmQnvWFHQoRXtRwx","EVU","Standard nach Anzahl Stromzähler"
"bDlauQiEdImKZQYYYwPhSeIaZf+CTvYrjrOYvHF","lTzCpTeMpUdtzEtlOPrlUIQhqvRZXXAMmdDVQFh","J09B6504","J09B","sW/WFfSPn/PXXl+LxuCXSE+xuZZwAVcvhmgpRiU","Meinerzhagen","Meinerzhagen","6","58540","rkVBIQNCdOAVOeqrQrUwYXwdeSUeUUJxUdUZtZf","KSA","Standard nach Anzahl Stromzähler"
"kcEgFSVudxuyAnldqQUzGTwtYXjZWikCuuXVQUf","hPZkTsjmSFQwlDwmvrZrBhrUHeVuAdMBiCpYhHx","J09B4011","J09B_L","qkWBEQIGTXLZUWixUpILyqdUoXZxFpcKcAXoLSN","Lüdenscheid",,"23","58507","ssRhVZbZzTUUuQJTTfRRYcRnBYHZrgKFAf+PRDL","EVU","Standard nach Anzahl Stromzähler"
"HHChGI//yxeyODVQZOXQCbNuNrFQPXHGyUP/ZIn","YECrEhywGaSXQodUUWJnDrk+eRBoXSPfUSdUzX/","J09B6502","J09B","SBtHwXnjgh+kDFYwCVFCIjRThUTdjJVXCRHASPl","Meinerzhagen","Meinerzhagen","1","58540","nYVKSyvcLoMuDktHTqOHNXVSPXXQaWKeIpzFAUa","KSA","Standard nach Anzahl Stromzähler"
"hWcdwsTUkwnERpdroSirnVTVZfnrFHlJAOIFXnV","ysMkGMZjViGySOySTXWtQVOeKDPDJMkmQjWZwvH","J09B4011","J09B_L","XQYEOPEJWhdOYtuwxKfMYGVKmOxidrTLwhgvNYQ","Lüdenscheid","Lüdenscheid","14","58507","WhFaQkYcoiTWLMDLUTJ/+KWONMqYLIVYGTQWnGR","KSA","Standard nach Anzahl Stromzähler"
"PUkBHMT+VMgSEmRFxDrUqVTayiOzkShGMgQZXWJ","KZE+bBVDfEGtZ/olVQYwpMSW/Tb+YBWbxoLZVhs","J09B1521","J09B_J","NiXTpIlULUETtBXiZDFZcPIKKuGtQHacddXPXxS","Hagen","Altenhagen","7","58097","UTceOVbkXvXDXpJhhZYcSsRyBjC+WSBwrHEsryD","EVU","Standard nach Anzahl Stromzähler"
"QEkVMcnZVVXGq/XtqxlnmnLZYnrXTpM+VoQ/jFh","YuNWBXYBZZ+ZDTOKUQnbR/IBOQeTUSPbZPLFggM","J09B1611","J09B_J","iYhturngNJTVigTWZdLlaDm/PzKWjuSeBADbWDr","Hagen","Boele","11","58099","KqSWeJVoWYhmQUlLETWzCkuTrkNsXYGAuEcFnEl","KSA","Standard nach Anzahl Stromzähler"
"TogRzPHmWWbjrXSf/s+nDyjXecFeTJRgLehUbUH","RYneTZSyoEnKqTzsyqoMMOVTXKjATUEUYeplCjx","J09B6251","J09B","JcVpnCsxSqazTyiDSLfjvrBUjYUVNIhQwQKYgDm","Plettenberg","Bremcke","11","58840","PYGfvjUHUUIlUZYHDXbJFeqyCjXTJgiRGvAqjgf","KSA","Standard nach Anzahl Stromzähler"
