HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"VsY+VC/SUNgusBaxUTvXQDtZc/PQGNRhunoMQbX","bQhtlYQdVmpzIrpRgGLTFxrX/jKVUolaQjUffgU","J09C6103","J09C","WGNkPsHpOWyiJHpVcWxPjdAdpoQvcmSEyWEMERE","Neuenrade","Neuenrade","4","58809","LF+TZuznqWUzVlTCSGuqNdGgQZWGXniYUDEIMXU","EVU","Standard nach Anzahl Stromzähler"
"oyWgTvKEZZU++WFFUMAiCXlYUOFWonvROYSvYQB","eIXWTOGyhUxKRWEpdJXS/rZBCUUyyorUTaeMl+Y","J09C4011","J09C_L","SSSz/ATQguTfTrgSXT+ULAsTfnReTBfiWEOYDLQ","Lüdenscheid",,"16","58513","wutPcEJnDVRGfDO+exIpPpiD/R+nQukVcUVlXjK","EVU","Standard nach Anzahl Stromzähler"
"CauLrvSRRYYxENmTjRToIqyVcSGKtXZTgXpPcKY","ztixqHcZU+uLYSRRCtPGZzSkiBQUJvjqZxPfTQY","J09C4011","J09C_L","ruFGOMPaWwWoCWYd/PUjAMUUiOmAAiQS/hYxCcT","Lüdenscheid",,"1","58513","tNGXBTkVVvtrETVbYGjKpYQaPHvVjXXWYPCYTtI","KSA","Standard nach Anzahl Stromzähler"
"hNFxcVwAZWVdneUWouvITUbbEqloHApRSdbLgoW","keSDORRXQApguHKuqJWfLVmO/tEEcoCATRdYFDu","J09C1622","J09C_J","UevUNqVvgvQVQUkNLaqiJcRVuLJBTBFcvxLMZWG","Hagen","Lennetal","6","58099","lXfQTyRxpscdcarogYwL/SQz+oLqiOyXaGNfdoR","EVU","Standard nach Anzahl Stromzähler"
"/tTUfVYRmeECySHCSqVQpLnZUGawTyLSHVgBByM","Yglsw/iuFyLMZDgdZhRTJcTkpIUiIyb/kRXPO+V","J09C4011","J09C_L","YIZV+UWUZGjzS/zKY/eSYJXvFSWtnWlM/QhtwhU","Lüdenscheid",,"2","58513","IoIOPTzDYIeatYcFKZjh/ZUTboVEPUAgipoY+zG","EVU","Standard nach Anzahl Stromzähler"
"XcAWVWWMeXKjSRDRSrBwiXzhItAiVJkQGOyPdZr","DXI/Q/zWXcVUsyMuRXlNvQuUkKwVYwxnY+JifZV","J09C1622","J09C_J","'+ZaV+/mvFTZCNOenytQBqCEZGtQTjFaQTpaBu/S","Hagen","Halden","47","58093","LChdYeuoEN+MFMqLbSWqYwsXCKcqgsju+ONviwE","EVU","Standard nach Anzahl Stromzähler"
"QRBtgHUzATUJelpUJVmyydRppXaFhrGReDTXRFk","ZGbzUTiid+mChgwTsJiWfXZLyOTEwFGhVtYAkyh","J09C4011","J09C_L","ruFSWQLgaQFz+SZ+/R/nrJmTRqINOagFEMHVNCh","Lüdenscheid",,"4","58513","kFSxzKZepzzvIjOLGTYaYyamAwJQtOwMFqkJdst","EVU","Standard nach Anzahl Stromzähler"
"eJhiOPRPnE/QRwlPLUCJecAdEkXXjxUaiQcpTEe","zXVZeZSgMPJxWQbHRVwwHaUXUHskUFmgHlhdvul","J09C3401","J09C_J","SBtRCMRabJXaFRUqzvPMBmOFUXrmUdfHycyFTRR","Hagen","Hohenlimburg","51","58093","vLINSCuQNZwYQTbKyAOSVShXvRfVCzvHZVgrCYZ","KSA","Standard nach Anzahl Stromzähler"
"igTJMWurUYauVjMxDloYWZ/KPMUhsVguYZTwRV+","/KUTyoUtDzlCfSMY//JTIKNnULKQqPARXrscibg","J09C4011","J09C_L","cHeDwfUGzBukuVPxXWXCBYAT+OBjWompjrn+XeF","Lüdenscheid",,"19","58513","RxfEZiNKKCNYZhkXSRgw/ItJjyfvrWnY+VQRb/C","EVU","Standard nach Anzahl Stromzähler"
"mpCKoDoFTxLXZgwUuSm/jZESvOKhjRKSZeSRwrX","XRylSSX+FJJ+UkkQ/BtIjmSLxWdDhWvxQQlyoVr","J09C6501","J09C","rRfJTZbdLQWNfWSfvcLRKkAVzZWIUSol+ARQRAS","Meinerzhagen","Meinerzhagen","1","58540","JvRRGUdsPXmwKIt/tNRFBUgkHBylVVIktSpvXoo","KSA","Standard nach Anzahl Stromzähler"
