HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"VYzgXZCzMhdRNbVnp/zwCVWVSbiWCqNKferaQXw","GTnLsZsXvxrFnBajSVglSPmoddLsQRErrJCfCOt","J09D6241","J09D","HsWhZgTTSsWsEVUgYcUQDfJcFPXeXpdpVYTyvMu","Plettenberg","Holthausen","69","58840","bRR+ABSkiJkVKPVSTryyZIorgRWaZTeuHCeGvhZ","KSA","Standard nach Anzahl Stromzähler"
"FBFcVZgYFsOSZUTOR/oFkmXrWWrMQRrjwpofDbz","MqqQPVAUQcZiRsnvIfYKooVaYSgpZWJUzwSqkcP","J09D3013","J09D_J","jHVvrpRzxFUMmoQiujBVpygCFbX/hagZKKwsHSO","Hagen","Hohenlimburg","33","58119","jtehYPBOVjAWNSRQWUmHbXCcShSlPKLEEsWWQQz","KSA","Standard nach Anzahl Stromzähler"
"RATSVd+nFTBSpDJwLNcsWGbvMYNWyIWUvkKfulR","XjDLutwXLvbKYVYeAPAhHGZeAHWexGcoIOARjaa","J09D7024","J09D","aTshMMoXzZpLeUwkaDuUXZXPQtSNuwiZYSBfDYB","Herdecke","Ende","55","58313","tmTASBOFNtAivieUVWdwQOUCNSQK+vUWOPWVRwL","EVU","Standard nach Anzahl Stromzähler"
"hBeavUvnpyDUoYQcQpYVEdaLqQAmXhKxCdRSJNB","nLXXxIjULqXVscYpNWHigTOnBVHYZWPYCYXSiQX","J09D4011","J09D_L","b+PYWiZeRZyVvR+QXA+ZnF/ZeTYfuT+DLVTbxtg","Lüdenscheid","Brügge","5","58515","/APtTLQndVKMQZkAWhYayGzoEWtevhbyXdFWLMj","KSA","Standard nach Anzahl Stromzähler"
"yesZtLfQSxsLKzuPsYwIwYsAZQQTv+TiUWPaSsM","sXsVZQpSkyXKWLCEMxefRSRCRt/axWsYNHGwqMz","J09D3012","J09D_J","nMRPrwngUJS/qQiYdokXUe/sUIDlSorcVSXzpMs","Hagen","Hohenlimburg","11","58119","xYotSqpoopKtRDluBupACKJHQXZtKWNOTKRmtAO","KSA","Standard nach Anzahl Stromzähler"
"/xAVNkKJNC/RhZDSuGpY+TVsuiZpoDVeDLgWSmQ","YwVZOWbZUqTqWhXSSkReetWhsbPYgXUYiYfbvgG","J09D7021","J09D","UeuaIjHhSBLQWioaWYAkwWNSmoGUxfPnLUtVRUv","Herdecke","Ende","139","58313","HIEgRMqjknOSVHiWAaoewuQSbUxaouRQSOUfKhs","EVU","Standard nach Anzahl Stromzähler"
"QzIhlIYTxGKVZ+xHuEGadXxdFYRPQSKtXVYyOZT","EoDVTBHUNXStyqCxvTUDUeeQkCbfIMYujKPBZxc","J09D6246","J09D","'+++SlXjdkbcvLTZSeUTigKkqzVDVsGAlRlLRSc/","Plettenberg","Holthausen","109","58840","Qk/C+HXAUWzTWkPnJBcIbkUxKqLUzeBlVUZETrO","EVU","Standard nach Anzahl Stromzähler"
"KKfoBlRTwHXSefSvzjDFWSfEZBK+nSdooVoROOi","fQwcXiyfHT+KTjSXuWLhnAUhdgJRYAQPdWUknYd","J09D3011","J09D_J","tcXnTCMUOSufsBTCCNKgvUxSancVHD/GLcWRtaX","Hagen","Hohenlimburg","10","58119","YFxoAKkfyTkBwZIiWDsWGqOdJXo+lSpTe+uERTv","KSA","Standard nach Anzahl Stromzähler"
"EBVnah+BnSnFgJYqowGUVofOWryTB/MkxEuQVTr","TKf/+UVpgzCUOZTAs+lbuCFxUIMswfVT+ikXuWe","J09D6242","J09D","BWZFmYSvVabFAUEQomHDJRXUudgzgTPlTxQmatJ","Plettenberg","Holthausen","24","58840","UUVUgEyhjRDkYVbBvWdXGoShFKSsXVvhAiLzWDJ","KSA","Standard nach Anzahl Stromzähler"
"dBZYzRgxssMYGLjftrPSFsDpKeprl/SFAqmrWMX","HId/YOKyVpbbMw/MpKcYbSmYcSLneCQ+Brzchs/","J09D7025","J09D","WhZZUWQJaYUlYYOrPUVxIJXtI+cpTYVTObPEhTR","Herdecke","Ende","1","58313","ZnUrgXZFjFhWLRjAIqtwMlqzjSahiynQtiwklQc","EVU","Standard nach Anzahl Stromzähler"
"aVopozQLgTGuWRgSoICYYVFWqkfDkHeZjbyVYYj","h/+UxmQjr/UnXNrFge+sPWzTAOyUSTURXblJC/W","J09D7022","J09D","TXYKREIJQQ/iOmTTQvZoInUDDaSlTHsUkfjugmA","Herdecke","Ende","112","58313","DARqtYTlRUCaUyOLNfUrXMvQARidRAhYipKGYIt","KSA","Standard nach Anzahl Stromzähler"
