model_name,session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct,recursion_limit_frame,recursion_limit_process,timeout_frame,timeout_process,error_frame,error_process
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_4506_exception_handling,0_values,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_1824_exception_handling,base_rule,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_42_exception_handling,900_values,classic,J09C,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_409_exception_handling,900_values,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_409_exception_handling,500_values,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09D_seed_42_exception_handling,0_values,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_1824_exception_handling,0_values,classic,J09B,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_409_exception_handling,0_values,classic,J09A,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_extension_estimates_processadaptationmethod_classic_tour_J09B_seed_4506_exception_handling,extension_estimates,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_4506_exception_handling,base_rule,classic,J09B,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_base_rule_processadaptationmethod_classic_tour_J09B_seed_409_exception_handling,base_rule,classic,J09B,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09A_seed_4506_exception_handling,0_values,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_500_values_processadaptationmethod_classic_tour_J09D_seed_42_exception_handling,500_values,classic,J09D,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_4012_exception_handling,0_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_900_values_processadaptationmethod_classic_tour_J09A_seed_4012_exception_handling,900_values,classic,J09A,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_900_values_processadaptationmethod_classic_tour_J09D_seed_409_exception_handling,900_values,classic,J09D,409,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_base_rule_processadaptationmethod_classic_tour_J09A_seed_4506_exception_handling,base_rule,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_900_values_processadaptationmethod_classic_tour_J09C_seed_1824_exception_handling,900_values,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_0_values_processadaptationmethod_classic_tour_J09B_seed_42_exception_handling,0_values,classic,J09B,42,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_city_values_processadaptationmethod_classic_tour_J09C_seed_1824_exception_handling,city_values,classic,J09C,1824,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_city_values_processadaptationmethod_classic_tour_J09A_seed_4506_exception_handling,city_values,classic,J09A,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_city_values_processadaptationmethod_classic_tour_J09B_seed_4012_exception_handling,city_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_900_values_processadaptationmethod_classic_tour_J09B_seed_4012_exception_handling,900_values,classic,J09B,4012,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_500_values_processadaptationmethod_classic_tour_J09C_seed_4506_exception_handling,500_values,classic,J09C,4506,True,True,True,True,True,False,False,False,False,False,False
gpt-5.4,processadaptation_extension_mail_processadaptationmethod_classic_tour_J09D_seed_4012_exception_handling,extension_mail,classic,J09D,4012,True,True,True,True,True,False,False,False,False,False,False
