session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct
processadaptation_base_rule_processadaptationmethod_add_tour_J09A_seed_42,base_rule,add,J09A,42,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09A_seed_1824,base_rule,add,J09A,1824,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09A_seed_409,base_rule,add,J09A,409,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09A_seed_4506,base_rule,add,J09A,4506,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09A_seed_4012,base_rule,add,J09A,4012,True,False,True,True,False
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_42,base_rule,add,J09B,42,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_1824,base_rule,add,J09B,1824,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_409,base_rule,add,J09B,409,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_4506,base_rule,add,J09B,4506,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_4012,base_rule,add,J09B,4012,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09C_seed_42,base_rule,add,J09C,42,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09C_seed_1824,base_rule,add,J09C,1824,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09C_seed_409,base_rule,add,J09C,409,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09C_seed_4506,base_rule,add,J09C,4506,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09C_seed_4012,base_rule,add,J09C,4012,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09D_seed_42,base_rule,add,J09D,42,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09D_seed_1824,base_rule,add,J09D,1824,False,False,False,False,False
processadaptation_base_rule_processadaptationmethod_add_tour_J09D_seed_409,base_rule,add,J09D,409,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09D_seed_4506,base_rule,add,J09D,4506,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09D_seed_4012,base_rule,add,J09D,4012,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_42,0_values,add,J09A,42,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_1824,0_values,add,J09A,1824,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_409,0_values,add,J09A,409,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_4506,0_values,add,J09A,4506,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_4012,0_values,add,J09A,4012,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_42,0_values,add,J09B,42,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_1824,0_values,add,J09B,1824,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_409,0_values,add,J09B,409,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_4506,0_values,add,J09B,4506,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_4012,0_values,add,J09B,4012,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09C_seed_42,0_values,add,J09C,42,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09C_seed_1824,0_values,add,J09C,1824,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09C_seed_409,0_values,add,J09C,409,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09C_seed_4506,0_values,add,J09C,4506,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09C_seed_4012,0_values,add,J09C,4012,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09D_seed_42,0_values,add,J09D,42,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09D_seed_1824,0_values,add,J09D,1824,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09D_seed_409,0_values,add,J09D,409,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09D_seed_4506,0_values,add,J09D,4506,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09D_seed_4012,0_values,add,J09D,4012,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09A_seed_42,500_values,add,J09A,42,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09A_seed_1824,500_values,add,J09A,1824,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09A_seed_409,500_values,add,J09A,409,False,True,True,True,False
processadaptation_500_values_processadaptationmethod_add_tour_J09A_seed_4506,500_values,add,J09A,4506,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09A_seed_4012,500_values,add,J09A,4012,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09B_seed_42,500_values,add,J09B,42,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09B_seed_1824,500_values,add,J09B,1824,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09B_seed_409,500_values,add,J09B,409,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09B_seed_4506,500_values,add,J09B,4506,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09B_seed_4012,500_values,add,J09B,4012,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_42,500_values,add,J09C,42,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_1824,500_values,add,J09C,1824,True,True,True,True,True
