session_id,process_adaptation,rule_adaptation_method,tour,seed,correct_matches,correct_columns,file_extracted,mails_sent,all_correct
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_409_exception_handling,500_values,add,J09D,409,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09D_seed_42_exception_handling,0_values,add,J09D,42,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_1824_exception_handling,0_values,add,J09B,1824,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_409_exception_handling,0_values,add,J09A,409,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09B_seed_4506_exception_handling,extension_estimates,add,J09B,4506,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_4506_exception_handling,base_rule,add,J09B,4506,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_409_exception_handling,base_rule,add,J09B,409,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09A_seed_4506_exception_handling,0_values,add,J09A,4506,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_42_exception_handling,500_values,add,J09D,42,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09D_seed_4012_exception_handling,500_values,add,J09D,4012,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09B_seed_4012_exception_handling,extension_mail,add,J09B,4012,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09B_seed_1824_exception_handling,base_rule,add,J09B,1824,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_42_exception_handling,500_values,add,J09C,42,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09C_seed_1824_exception_handling,city_values,add,J09C,1824,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09A_seed_4506_exception_handling,city_values,add,J09A,4506,True,True,True,True,True
processadaptation_city_values_processadaptationmethod_add_tour_J09B_seed_4012_exception_handling,city_values,add,J09B,4012,True,True,True,True,True
processadaptation_900_values_processadaptationmethod_add_tour_J09B_seed_4012_exception_handling,900_values,add,J09B,4012,True,True,True,True,True
processadaptation_500_values_processadaptationmethod_add_tour_J09C_seed_4506_exception_handling,500_values,add,J09C,4506,True,True,True,True,True
processadaptation_0_values_processadaptationmethod_add_tour_J09B_seed_4506_exception_handling,0_values,add,J09B,4506,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_4012_exception_handling,extension_mail,add,J09D,4012,False,False,True,False,False
processadaptation_900_values_processadaptationmethod_add_tour_J09D_seed_42_exception_handling,900_values,add,J09D,42,True,True,True,True,True
processadaptation_extension_mail_processadaptationmethod_add_tour_J09D_seed_4506_exception_handling,extension_mail,add,J09D,4506,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09A_seed_4506_exception_handling,extension_estimates,add,J09A,4506,True,True,True,True,True
processadaptation_extension_estimates_processadaptationmethod_add_tour_J09C_seed_1824_exception_handling,extension_estimates,add,J09C,1824,True,True,True,True,True
processadaptation_base_rule_processadaptationmethod_add_tour_J09A_seed_42_exception_handling,base_rule,add,J09A,42,True,True,True,True,True
